2026-04-14T07:00:21+00:00
Running ./benchscpu
Run on (32 X 5700 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.19, 4.57, 3.33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
--------------------------------------------------------------------------------------------
Benchmark                                                  Time             CPU   Iterations
--------------------------------------------------------------------------------------------
ADD_OP_AVX_BENCH/real_time                              1305 us         1305 us          528
SUB_OP_AVX_BENCH/real_time                              1849 us         1849 us          378
MUL_OP_AVX_BENCH/real_time                              4129 us         4129 us          171
ADD_OP_BENCH/real_time                                   517 us          517 us         1385
SUB_OP_BENCH/real_time                                   515 us          515 us         1369
MUL_OP_BENCH/real_time                                  1618 us         1618 us          439
INV_OP_BENCH/real_time                                  9480 us         9479 us           74
POSEIDON2_BENCH_FULL/16/real_time                     261164 us       152473 us            3 BytesProcessed=980.226Mi/s Rate=1.99253us
POSEIDON2_BENCH_FULL/32/real_time                     161228 us       147756 us            4 BytesProcessed=1.5506Gi/s Rate=1.23007us
POSEIDON2_BENCH_FULL_AVX/16/real_time                 227890 us       210122 us            3 BytesProcessed=1.09702Gi/s Rate=1.73866us
POSEIDON2_BENCH_FULL_AVX/32/real_time                 148406 us       106160 us            5 BytesProcessed=1.68457Gi/s Rate=1.13225us
POSEIDON2_BENCH_FULL_AVX_BATCH/16/real_time           230816 us       192537 us            3 BytesProcessed=1.08311Gi/s Rate=1.76099us
POSEIDON2_BENCH_FULL_AVX_BATCH/32/real_time           160356 us       103358 us            4 BytesProcessed=1.55903Gi/s Rate=1.22342us
POSEIDON2_BENCH_FULL_AVX/16/real_time                 227245 us       141612 us            3 BytesProcessed=1.10014Gi/s Rate=1.73374us
POSEIDON2_BENCH_FULL_AVX/32/real_time                 147279 us       105946 us            5 BytesProcessed=1.69746Gi/s Rate=1.12365us
POSEIDON2_BENCH/16/real_time                          259404 us       156698 us            3 BytesProcessed=986.878Mi/s Rate=1.9791us
POSEIDON2_BENCH/32/real_time                          168892 us       151287 us            4 BytesProcessed=1.48023Gi/s Rate=1.28855us
POSEIDON2_BENCH_AVX/16/real_time                      226335 us       123548 us            3 BytesProcessed=1.10456Gi/s Rate=1.7268us
